Charachteristic,Instruction/Comments,Supplier Answers,COMMENT
Table,-------------,KHS: no table; column type desighn,NOK
Tank,-------------,KHS: OK,OK
Carrousel,-------------,KHS: stainless steel,OK
Structure elements made with carbon steel shall be coated with stainless steel plates,-------------,KHS: no carbon,OK
Gears of each star,-------------,KHS: infeed star with servo drive in stainless steel housing,OK
Filling valves,-------------,KHS: OK,OK
Beer/soft drink/CO2/N2 pipes and accessories,-------------,KHS: OK,OK
"All o'rings, seals, rubber in contact with product",-------------,KHS: OK,OK
Front /side doors,-------------,KHS: OK,OK
Lateral wall all arround,-------------,KHS: OK,OK
Operator platform,-------------,KHS: OK,OK
Feet,-------------,KHS: OK,OK
The elevating pistons came,-------------,KHS: OK,OK
Valves,-------------,KHS: OK,OK
Guides,-------------,KHS: in the filler stainless steel,OK
External protections,-------------,KHS: OK,OK
Control/ command panel (installed at side of filler),-------------,KHS: OK,OK
Partition boxes,-------------,KHS: OK,OK
Height adjustment system for dome,-------------,KHS; stainless steel and spindle polycarbonate,OK
Internal finish,-------------,KHS: OK,OK
External finish,-------------,KHS: < 1.6 µm,OK
Electric Panels Painting,-------------,KHS: stainless steel,OK
All other Painting detail shall follow the GPS - General Painting Specification,-------------,KHS: OK,OK
Supply of certificates issued by construction materials manufacturers,-------------,KHS: OK,OK
Mobile change part racks,-------------,KHS: OK,OK
